우선순위,ID,아티스트,리소스 타입,상태,마감일,완성도,다음 액션
MEDIUM,35,MEOVV,배경 이미지,pending,-,85%,🟡 권장: 아트 담당자 입력
MEDIUM,36,ADP,한정 테마 포토카드 초상,pending,-,85%,🟡 권장: 아트 담당자 입력
MEDIUM,37,ADP,프로필 이미지,pending,-,85%,🟡 권장: 아트 담당자 입력
MEDIUM,38,ADP,한정 테마 포토카드 프레임 (라지),pending,-,85%,🟡 권장: 아트 담당자 입력
MEDIUM,39,ADP,한정 테마 포토카드 프레임 (스몰),pending,-,57%,"🟡 권장: 이미지 너비, 이미지 높이, 아트 담당자 입력"
MEDIUM,40,ADP,배경 이미지,pending,-,85%,🟡 권장: 아트 담당자 입력
MEDIUM,49,TAEYANG,픽업 뽑기 상점 배경,pending,-,57%,"🟡 권장: 이미지 너비, 이미지 높이, 아트 담당자 입력"
MEDIUM,50,TAEYANG,픽업 뽑기 로비 배너 (라지),pending,-,57%,"🟡 권장: 이미지 너비, 이미지 높이, 아트 담당자 입력"
MEDIUM,51,TAEYANG,픽업 뽑기 로비 배너 (스몰),pending,-,57%,"🟡 권장: 이미지 너비, 이미지 높이, 아트 담당자 입력"
MEDIUM,52,JEON SOMI,픽업 뽑기 상점 배경,pending,-,57%,"🟡 권장: 이미지 너비, 이미지 높이, 아트 담당자 입력"
MEDIUM,53,JEON SOMI,픽업 뽑기 로비 배너 (라지),pending,-,57%,"🟡 권장: 이미지 너비, 이미지 높이, 아트 담당자 입력"
MEDIUM,54,JEON SOMI,픽업 뽑기 로비 배너 (스몰),pending,-,57%,"🟡 권장: 이미지 너비, 이미지 높이, 아트 담당자 입력"
MEDIUM,55,MEOVV,픽업 뽑기 상점 배경,pending,-,57%,"🟡 권장: 이미지 너비, 이미지 높이, 아트 담당자 입력"
MEDIUM,56,MEOVV,픽업 뽑기 로비 배너 (라지),pending,-,57%,"🟡 권장: 이미지 너비, 이미지 높이, 아트 담당자 입력"
MEDIUM,57,MEOVV,픽업 뽑기 로비 배너 (스몰),pending,-,57%,"🟡 권장: 이미지 너비, 이미지 높이, 아트 담당자 입력"
MEDIUM,58,ADP,픽업 뽑기 상점 배경,pending,-,57%,"🟡 권장: 이미지 너비, 이미지 높이, 아트 담당자 입력"
MEDIUM,59,ADP,픽업 뽑기 로비 배너 (라지),pending,-,57%,"🟡 권장: 이미지 너비, 이미지 높이, 아트 담당자 입력"
MEDIUM,60,ADP,픽업 뽑기 로비 배너 (스몰),pending,-,57%,"🟡 권장: 이미지 너비, 이미지 높이, 아트 담당자 입력"
