타깃,목적,상황,구매 요인,트리거,상품,가격대,구매 시간 제한 여부,비고
Streak,ARPPU↑,픽업 포토카드 풀 세트 획득,자기 보상,픽업 포토카드 풀 세트 수집 완료 시,성장 재화 패키지,"₩59,000",구매 시간 제한,
Streak,PUR↑,스테이지 노 미스 클리어,자기 보상,각 곡 별 최초 하드 스테이지 노 미스 클리어 시,다이아 상품 2종,"₩1,500
₩12,000",구매 시간 제한,유저에게 소소한 포상으로 인식될 수 있도록 설계
Streak,PUR↑,배경화면 조각 100% 수집,자기 보상,배경화면 조각 100% 수집 시 (조각으로 획득했을 경우에만),다이아 상품 2종,"₩1,500
₩12,000",구매 시간 제한,유저에게 소소한 포상으로 인식될 수 있도록 설계
Streak,PUR↑,특정 콜렉션 레벨 달성,자기 보상,10단위 콜렉션 레벨 달성 시,다이아 상품 2종,"₩1,500
₩12,000",구매 시간 제한,유저에게 소소한 포상으로 인식될 수 있도록 설계
Streak,PUR↑,R등급 카드 한계돌파,자기 보상,R등급 카드 한계돌파 시,다이아 상품 2종,"₩1,500
₩12,000",구매 시간 제한,유저에게 소소한 포상으로 인식될 수 있도록 설계
Streak,ARPPU↑,앨범 리그 그룹 랭킹 1위(결산 전),추락 공포,"1. n명 이상 참여 중인 리그의 1위 유저가 인게임 진입
2. 2위 유저와 점수 n% 이내 말풍선 출력 확인 조건
3. 인게임 결과를 통해 상대와 점수 격차를 벌리지 못했을 경우 상품 출력",성장 재화 패키지,"₩59,000",구매 시간 제한,"CRM 팝업에서 순위 하락에 대한 공포감을 알려줘야할듯
기분 나쁘지 않게"
Streak,ARPPU↑,앨범 리그 그룹 랭킹 1위(결산 후),추락 공포,"1. 앨범 리그 결산 후 보상 연출 확인 
2. 참여한 리그 중 1위가 1개 이상 있을 경우 연출 종료 후 상품 출력
(성장 상태를 확인하고 띄워야 함)",성장 재화 패키지,"₩59,000",구매 시간 제한,
Streak,ARPPU↑,명예의 전당 1~3위(결산 전),추락 공포,"1. 각 앨범 별 실시간 명예의 전당 유저(1~3위) 대상
2. 해당 앨범 리그의 명예의 전당 탭 확인 후, 뷰 이탈 시 상품 출력
(성장 상태를 확인하고 띄워야 함)",성장 재화 패키지,"₩119,000",구매 시간 제한,
Streak,둘 다,최애 아티스트 컴백 시,팬덤 경향,최애 아티스트 컴백 시 (로비 진입 시 출력),스탭업 패키지,"무료~누적 ₩120,000",구매 시간 제한,"패스와 카니발 우려, 패스와 차별화 된 상품 필요"
Streak,둘 다,최애 아티스트 데뷔 기념일,팬덤 경향,최애 아티스트 데뷔 기념일  (로비 진입 시 출력),스탭업 패키지,"무료~누적 ₩120,000",구매 시간 제한,"패스와 카니발 우려, 패스와 차별화 된 상품 필요"
-,-,,-,,,,-,
-,-,,-,,,,-,
-,-,,-,,,,-,
-,-,,-,,,,-,
